Event Title,Date,Location,Image URL,Event URL
SundayScene at 432,15th Dec,Karachi,https://v2.ticketwala.pk/uploads/events/banner/sundayscene-at-432-1733577381-2339.jpeg,https://ticketwala.pk/event/sundayscene-432-2339
GCDC Intra Dramatics Festival,19th Dec,Lahore,https://v2.ticketwala.pk/uploads/events/banner/gcdc-intra-dramatics-festival-1733561081-2337.png,https://ticketwala.pk/event/gcdc-intra-dramatics-festival-2337
Funny Kharabi,19th Dec - 29th Dec,Islamabad,https://v2.ticketwala.pk/uploads/events/banner/funny-kharabi-1733386358-2228.jpeg,https://ticketwala.pk/event/funny-2228
Aster Winter Wonderland 4.0,20th Dec,Karachi,https://v2.ticketwala.pk/uploads/events/banner/aster-winter-wonderland-4-0-1733142976-2315.jpeg,https://ticketwala.pk/event/aster-winter-wonderland-4-0-2315
"Comedy Open Mic Lahore - 20th December, 2024",20th Dec,Lahore,https://v2.ticketwala.pk/uploads/events/banner/comedy-open-mic-lahore-20th-december-2024-1732715380-2302.png,https://ticketwala.pk/event/comedy-open-mic-lahore-20th-december-2024-2302
KAUR,20th Dec - 22nd Dec,Lahore,https://v2.ticketwala.pk/uploads/events/banner/kaur-1730891542-2216.jpeg,https://ticketwala.pk/event/kaur-2216
Date Night with Quaid Ahmed: Decemberistan Special,20th Dec,Karachi,https://v2.ticketwala.pk/uploads/events/banner/date-night-with-quaid-ahmed-decemberistan-special-1733479963-2328.png,https://ticketwala.pk/event/date-night-with-quaid-ahmed-decemberistan-special
Solstice Volume 1,21st Dec - 21st Dec,Lahore,https://v2.ticketwala.pk/uploads/events/banner/solstice-volume-1-1732787525-2307.png,https://ticketwala.pk/event/solstice-volume-1-2307
The Karachi Bazaar 2024,21st Dec,Karachi,https://v2.ticketwala.pk/uploads/events/banner/the-karachi-bazaar-2024-1732713218-2300.png,https://ticketwala.pk/event/the-karachi-bazaar-2024-2300
Prom Night,21st Dec,Lahore,https://v2.ticketwala.pk/uploads/events/banner/prom-night-1733225449-2325.jpeg,https://ticketwala.pk/event/prom-night-2325
"Back In Focus - 21st December, 2024",21st Dec,Lahore,https://v2.ticketwala.pk/uploads/events/banner/back-in-focus-21st-december-2024-1732786769-2306.jpeg,https://ticketwala.pk/event/back-in-focus-21st-december-2024-2306
Mehfil e Suroor,21st Dec,Karachi,https://v2.ticketwala.pk/uploads/events/banner/mehfil-e-suroor-1733387846-2241.jpeg,https://ticketwala.pk/event/mehfil-e-suroor-2241
